year,state,cause_of_death,population,median_income,poverty_count,aadr,poverty_rate
2010,Alabama,Influenza and pneumonia,4712651,42081,786544,18.7,0.1669005406935502
2010,Alaska,Influenza and pneumonia,691189,66521,64245,15.8,0.09294852782668706
2010,Arizona,Influenza and pneumonia,6246816,50448,933113,11.4,0.149374177180823
2010,Arkansas,Influenza and pneumonia,2872684,39267,502684,19.9,0.17498757259761255
2010,California,Influenza and pneumonia,36637290,60883,4919945,16.4,0.1342879072114777
2010,Colorado,Influenza and pneumonia,4887061,56456,584184,12.3,0.11953687502570563
2010,Connecticut,Influenza and pneumonia,3545837,67740,314306,12.1,0.08864084840899342
2010,Delaware,Influenza and pneumonia,881278,57599,93857,13.8,0.10650101330113766
2010,District of Columbia,Influenza and pneumonia,584400,58526,101767,13.5,0.17413928815879534
2010,Florida,Influenza and pneumonia,18511620,47661,2502365,8.9,0.135178066533345
2010,Georgia,Influenza and pneumonia,9468815,49347,1445752,18.3,0.1526856317289967
2010,Hawaii,Influenza and pneumonia,1333591,66420,124627,17.0,0.09345219036421211
2010,Idaho,Influenza and pneumonia,1526797,46423,203177,13.5,0.13307401049386394
2010,Illinois,Influenza and pneumonia,12745359,55735,1572048,16.1,0.12334277912454251
2010,Indiana,Influenza and pneumonia,6417398,47697,842540,16.9,0.1312899714183225
2010,Iowa,Influenza and pneumonia,3016267,48872,338263,13.7,0.11214623904316164
2010,Kansas,Influenza and pneumonia,2809329,49424,338792,16.4,0.12059534500943107
2010,Kentucky,Influenza and pneumonia,4285828,41576,735782,21.0,0.1716779114794154
2010,Louisiana,Influenza and pneumonia,4429940,43445,780359,20.2,0.17615565899312405
2010,Maine,Influenza and pneumonia,1327665,46933,162358,13.4,0.12228837846896619
2010,Maryland,Influenza and pneumonia,5696423,70647,476732,15.7,0.08368971194730447
2010,Massachusetts,Influenza and pneumonia,6477096,64509,658391,16.0,0.10164910324009402
2010,Michigan,Influenza and pneumonia,9952687,48432,1444004,13.6,0.14508684941061645
2010,Minnesota,Influenza and pneumonia,5241914,57243,542133,9.7,0.10342271925865247
2010,Mississippi,Influenza and pneumonia,2941991,37881,604272,19.2,0.20539559774316102
2010,Missouri,Influenza and pneumonia,5922314,46262,802596,17.4,0.13552067654636346
2010,Montana,Influenza and pneumonia,973739,43872,138109,13.6,0.14183369465534398
2010,Nebraska,Influenza and pneumonia,1799125,49342,206227,11.9,0.11462627666226638
2010,Nevada,Influenza and pneumonia,2633331,55726,308426,19.8,0.11712390124902643
2010,New Hampshire,Influenza and pneumonia,1313939,63277,99527,12.6,0.07574704761788789
2010,New Jersey,Influenza and pneumonia,8721577,69811,777968,11.0,0.08920038199513688
2010,New Mexico,Influenza and pneumonia,2013122,43820,361771,14.2,0.1797064460077432
2010,New York,Influenza and pneumonia,19229752,55603,2650166,20.6,0.13781592191100542
2010,North Carolina,Influenza and pneumonia,9271178,45570,1399945,17.7,0.15099968957558577
2010,North Dakota,Influenza and pneumonia,659858,46781,78405,13.9,0.11882101906773881
2010,Ohio,Influenza and pneumonia,11512431,47358,1586292,14.6,0.1377894903344046
2010,Oklahoma,Influenza and pneumonia,3675339,42979,577247,19.7,0.15705952566552364
2010,Oregon,Influenza and pneumonia,3761925,49260,516271,9.2,0.13723585664254337
2010,Pennsylvania,Influenza and pneumonia,12612705,50398,1509858,13.6,0.11970929312942782
2010,Rhode Island,Influenza and pneumonia,1056389,54902,123396,13.8,0.11680924356463386
2010,South Carolina,Influenza and pneumonia,4511428,43939,716537,15.9,0.1588270942149581
2010,South Dakota,Influenza and pneumonia,799462,46369,105819,15.8,0.13236276395876226
